,element,Unit_lattice_constant,lattice_constant_a,lattice_constant_b,lattice_constant_c,Tc,Element_Normalize,Tc_mean,Tc_range
4909,Yb0.85Pr0.15Ba2Cu3O6.97,,,,,86.5,Ba200Yb85Pr15Cu300O697,86.5,0.0
4910,Yb0.8Pr0.2Ba2Cu3O6.97,,,,,82.0,Ba200Yb80Pr20Cu300O697,82.0,0.0
4911,Yb0.7Pr0.3Ba2Cu3O6.97,,,,,73.5,Ba200Yb70Pr30Cu300O697,73.5,0.0
4912,La1.885Sr0.115Cu1O4,,,,,29.5,Sr23La377(CuO4)200,28.414000000000005,6.300000000000001
4913,La1.845Nd0.04Sr0.115Cu1O4,,,,,28.5,Sr23La369Nd8(CuO4)200,28.5,0.0
4914,La1.805Nd0.08Sr0.115Cu1O4,,,,,27.5,Sr23La361Nd16(CuO4)200,27.5,0.0
4915,La1.785Nd0.1Sr0.115Cu1O4,,,,,27.0,Sr23La357Nd20(CuO4)200,27.0,0.0
4916,La1.76Nd0.125Sr0.115Cu1O4,,,,,25.5,Sr23La352Nd25(CuO4)200,25.5,0.0
4917,La1.745Nd0.14Sr0.115Cu1O4,,,,,17.5,Sr23La349Nd28(CuO4)200,17.5,0.0
4918,La1.735Nd0.15Sr0.115Cu1O4,,,,,16.5,Sr23La347Nd30(CuO4)200,16.5,0.0
4919,La1.685Nd0.2Sr0.115Cu1O4,,,,,11.0,Sr23La337Nd40(CuO4)200,11.0,0.0
4920,La1.875Sr0.125Cu1O4,,,,,32.0,SrLa15(CuO4)8,30.119999999999997,5.399999999999999
4921,La1.835Nd0.04Sr0.125Cu1O4,,,,,32.0,Sr25La367Nd8(CuO4)200,32.0,0.0
4922,La1.795Nd0.08Sr0.125Cu1O4,,,,,29.5,Sr25La359Nd16(CuO4)200,29.5,0.0
4923,La1.775Nd0.1Sr0.125Cu1O4,,,,,27.0,Sr5La71Nd4(CuO4)40,27.0,0.0
4924,La1.75Nd0.125Sr0.125Cu1O4,,,,,17.5,SrLa14Nd(CuO4)8,17.5,0.0
4925,La1.735Nd0.14Sr0.125Cu1O4,,,,,15.0,Sr25La347Nd28(CuO4)200,15.0,0.0
4926,La1.725Nd0.15Sr0.125Cu1O4,,,,,12.5,Sr5La69Nd6(CuO4)40,12.5,0.0
4927,La1.675Nd0.2Sr0.125Cu1O4,,,,,10.5,Sr5La67Nd8(CuO4)40,10.5,0.0
4928,La1.575Nd0.3Sr0.125Cu1O4,,,,,9.0,Sr5La63Nd12(CuO4)40,9.0,0.0
4929,La1.775Nd0.125Sr0.1Cu1O4,,,,,26.0,Sr4La71Nd5(CuO4)40,26.0,0.0
4930,La1.765Nd0.125Sr0.11Cu1O4,,,,,26.0,Sr22La353Nd25(CuO4)200,26.0,0.0
4931,La1.76Nd0.125Sr0.115Cu1O4,,,,,25.5,Sr23La352Nd25(CuO4)200,25.5,0.0
4932,La1.75Nd0.125Sr0.125Cu1O4,,,,,17.5,SrLa14Nd(CuO4)8,17.5,0.0
4933,La1.74Nd0.125Sr0.135Cu1O4,,,,,21.0,Sr27La348Nd25(CuO4)200,21.0,0.0
4934,La1.725Nd0.125Sr0.15Cu1O4,,,,,33.5,Sr6La69Nd5(CuO4)40,33.5,0.0
4935,La1.715Nd0.125Sr0.16Cu1O4,,,,,35.0,Sr32La343Nd25(CuO4)200,35.0,0.0
4936,Tl2Ba2Ca1Cu2O8,,,,,103.0,Ba2CaTl2(CuO4)2,105.2875,27.099999999999994
4937,Y1Ba2Cu3O7,,,,,92.0,Ba2YCu3O7,90.18623188405797,45.5
4938,Tl1Bi1Sr2Ca1Cu2O7,,,,,86.0,Sr2CaTlCu2BiO7,86.0,0.0
4939,Hg1Ba2Cu1O4.06,A,3.886,,9.532,71.0,Ba100Cu50Hg50O203,73.0,4.0
4940,Hg1Ba2Cu1O4.19,A,3.88,,9.524,83.0,Ba200Cu100Hg100O419,82.66666666666667,25.0
4941,Hg1Ba2Cu1O4.12,A,3.885,,9.526,98.0,Ba50Cu25Hg25O103,83.0,27.0
4942,Hg1Ba2Ca1Cu2O6.1,A,3.864,,12.712,93.0,Ba20Ca10Cu20Hg10O61,92.5,1.0
4943,Hg1Ba2Ca1Cu2O6.1,A,,,,92.0,Ba20Ca10Cu20Hg10O61,92.5,1.0
4944,Hg1Ba2Ca1Cu2O6.13,A,3.862,,12.698,102.0,Ba200Ca100Cu200Hg100O613,102.0,0.0
4945,Hg1Ba2Ca1Cu2O6.14,A,3.86,,12.69,105.0,Ba100Ca50Cu100Hg50O307,105.0,0.0
4946,Hg1Ba2Ca1Cu2O6.16,A,,,,121.0,Ba50Ca25Cu50Hg25O154,121.0,0.0
4947,Hg1Ba2Ca1Cu2O6.19,A,3.86,,12.703,122.0,Ba200Ca100Cu200Hg100O619,122.0,0.0
4948,Hg1Ba2Ca1Cu2O6.21,A,3.86,,12.693,127.0,Ba200Ca100Cu200Hg100O621,127.0,0.0
4949,Hg1Ba2Ca1Cu2O6.24,A,,,,122.0,Ba50Ca25Cu50Hg25O156,123.0,5.0
4950,Hg1Ba2Ca1Cu2O6.24,A,3.855,,12.684,121.0,Ba50Ca25Cu50Hg25O156,123.0,5.0
4951,Hg1Ba2Ca1Cu2O6.27,A,3.854,,12.681,110.0,Ba200Ca100Cu200Hg100O627,110.0,0.0
4952,Hg1Ba2Ca1Cu2O6.3,A,3.853,,12.675,100.0,Ba20Ca10Cu20Hg10O63,100.0,0.0
4953,Hg1Ba2Ca1Cu2O6.3,A,,,,100.0,Ba20Ca10Cu20Hg10O63,100.0,0.0
4954,Hg1Ba2Ca1Cu2O6.31,A,3.853,,12.683,98.0,Ba200Ca100Cu200Hg100O631,98.0,0.0
4955,Hg1Ba2Ca2Cu3O8.17,A,,,,94.0,Ba200Ca200Cu300Hg100O817,96.0,4.0
4956,Hg1Ba2Ca2Cu3O8.17,A,,,,98.0,Ba200Ca200Cu300Hg100O817,96.0,4.0
4957,Hg1Ba2Ca2Cu3O8.16,A,3.886,,15.887,101.0,Ba50Ca50Cu75Hg25O204,101.0,0.0
4958,Hg1Ba2Ca2Cu3O8.2,A,3.858,,15.873,105.0,Ba10Ca10Cu15Hg5O41,104.5,1.0
4959,Hg1Ba2Ca2Cu3O8.2,A,,,,104.0,Ba10Ca10Cu15Hg5O41,104.5,1.0
4960,Hg1Ba2Ca2Cu3O8.25,A,3.854,,15.855,132.0,Ba8Ca8Cu12Hg4O33,132.0,0.0
4961,Hg1Ba2Ca2Cu3O8.29,A,3.854,,15.855,135.0,Ba200Ca200Cu300Hg100O829,135.0,0.0
4962,Hg1Ba2Ca2Cu3O8.29,A,,,,135.0,Ba200Ca200Cu300Hg100O829,135.0,0.0
4963,Hg1Ba2Ca2Cu3O8.3,A,3.854,,15.865,134.0,Ba20Ca20Cu30Hg10O83,133.5,1.0
4964,Hg1Ba2Ca2Cu3O8.3,A,,,,133.0,Ba20Ca20Cu30Hg10O83,133.5,1.0
4965,Y1Ba2Cu3O6.8,,,,,92.0,Ba10Y5Cu15O34,82.58636363636364,29.900000000000006
4966,Y1Ba2Cu3O6.9,,,,,88.0,Ba20Y10(Cu10O23)3,90.9753947368421,15.0
4967,Er2Ba4Cu7O14.92,A,3.826,3.866,50.368,89.0,Ba100Er50Cu175O373,89.0,0.0
4968,Y1Ba2Cu3O6.95,,,,,93.2,Ba40Y20Cu60O139,91.8379411764706,7.5
4969,Tl0.5Pb0.5Sr2Ca1Cu2O7,,,,,78.4,Sr4Ca2TlCu4PbO14,82.97999999999999,6.599999999999994
4970,Tl0.5Pb0.5Sr2Ca0.9Y0.1Cu2O7,,,,,99.3,Sr20Ca9YTl5Cu20(PbO14)5,99.3,0.0
4971,Tl0.5Pb0.5Sr2Ca0.8Y0.2Cu2O7,,,,,105.2,Sr20Ca8Y2Tl5Cu20(PbO14)5,105.2,0.0
4972,Tl0.5Pb0.5Sr2Ca0.65Y0.35Cu2O7,,,,,92.0,Sr40Ca13Y7Tl10Cu40(PbO14)10,92.0,0.0
4973,Bi2Sr2Cu1O6,A,5.36,5.37,24.64,7.5,Sr2Cu(BiO3)2,9.225,5.0
4974,Y1Ba2Cu3O6.95,,,,,93.4,Ba40Y20Cu60O139,91.8379411764706,7.5
4975,Y1Ba2Cu3O6.92,,,,,90.0,Ba50Y25Cu75O173,91.61428571428571,2.4000000000000057
4976,La1Ba1.5Ca0.5Cu3O6.79,,,,,40.0,Ba150Ca50La100Cu300O679,40.0,0.0
4977,La1Ba1.5Ca0.5Cu3O7.011,,,,,78.0,Ba1500Ca500La1000(Cu1000O2337)3,78.0,0.0
4978,La1Ba1.5Ca0.5Cu3O7.079,,,,,76.0,Ba1500Ca500La1000Cu3000O7079,76.0,0.0
4979,La1Ba1.5Ca0.5Cu3O7.112,,,,,72.0,Ba375Ca125La250(Cu375O889)2,72.0,0.0
4980,La1Ba1.5Ca0.5Cu3O7.16,,,,,56.0,Ba75Ca25La50(Cu75O179)2,56.0,0.0
4981,La1.1Ba1.5Ca0.4Cu3O6.76,,,,,34.0,Ba75Ca20La55(Cu75O169)2,34.0,0.0
4982,La1.1Ba1.5Ca0.4Cu3O6.97,,,,,70.0,Ba150Ca40La110Cu300O697,70.0,0.0
4983,La1.1Ba1.5Ca0.4Cu3O7.06,,,,,79.0,Ba75Ca20La55Cu150O353,79.0,0.0
4984,La1.1Ba1.5Ca0.4Cu3O7.06,,,,,79.0,Ba75Ca20La55Cu150O353,79.0,0.0
4985,La1.1Ba1.5Ca0.4Cu3O7.11,,,,,77.0,Ba150Ca40La110(Cu100O237)3,77.0,0.0
4986,La1.1Ba1.5Ca0.4Cu3O7.123,,,,,76.0,Ba1500Ca400La1100Cu3000O7123,76.0,0.0
4987,La1.1Ba1.5Ca0.4Cu3O7.17,,,,,70.0,Ba150Ca40La110(Cu100O239)3,70.0,0.0
4988,La1.1Ba1.5Ca0.4Cu3O7.25,,,,,35.0,Ba30Ca8La22(Cu12O29)5,35.0,0.0
4989,La1.2Ba1.5Ca0.3Cu3O6.72,,,,,27.0,Ba25Ca5La20(Cu25O56)2,27.0,0.0
4990,La1.2Ba1.5Ca0.3Cu3O6.93,,,,,60.0,Ba50Ca10La40Cu100O231,60.0,0.0
4991,La1.2Ba1.5Ca0.3Cu3O7.06,,,,,75.2,Ba75Ca15La60Cu150O353,75.2,0.0
4992,La1.3Ba1.5Ca0.2Cu3O6.7,,,,,20.0,Ba15Ca2La13Cu30O67,20.0,0.0
4993,La1.3Ba1.5Ca0.2Cu3O6.92,,,,,45.0,Ba75Ca10La65(Cu75O173)2,45.0,0.0
4994,La1.3Ba1.5Ca0.2Cu3O6.94,,,,,52.0,Ba75Ca10La65Cu150O347,52.0,0.0
4995,La1.4Ba1.5Ca0.1Cu3O6.903,,,,,25.0,Ba1500Ca100La1400(Cu1000O2301)3,25.0,0.0
4996,La1.4Ba1.5Ca0.1Cu3O6.943,,,,,40.0,Ba1500Ca100La1400Cu3000O6943,40.0,0.0
4997,La1.4Ba1.5Ca0.1Cu3O6.982,,,,,51.0,Ba750Ca50La700Cu1500O3491,51.0,0.0
4998,La1.5Ba1.4Ca0.1Cu3O6.912,,,,,11.0,Ba350Ca25La375(Cu125O288)6,13.5,5.0
4999,La1.5Ba1.4Ca0.1Cu3O6.912,,,,,16.0,Ba350Ca25La375(Cu125O288)6,13.5,5.0
5000,La1.5Ba1.4Ca0.1Cu3O6.932,,,,,25.0,Ba350Ca25La375Cu750O1733,25.0,0.0
5001,La1.5Ba1.4Ca0.1Cu3O6.964,,,,,35.0,Ba350Ca25La375Cu750O1741,35.0,0.0
5002,La1.5Ba1.3Ca0.2Cu3O6.897,,,,,16.0,Ba1300Ca200La1500(Cu1000O2299)3,16.0,0.0
5003,La1.5Ba1.3Ca0.2Cu3O6.918,,,,,25.0,Ba650Ca100La750(Cu500O1153)3,25.0,0.0
5004,La1.5Ba1.3Ca0.2Cu3O6.957,,,,,35.0,Ba1300Ca200La1500(Cu1000O2319)3,35.0,0.0
5005,La1.5Ba1.3Ca0.2Cu3O7.002,,,,,16.0,Ba650Ca100La750(Cu500O1167)3,16.0,0.0
5006,La1.5Ba1.1Ca0.4Cu3O6.764,,,,,25.0,Ba275Ca100La375Cu750O1691,25.0,0.0
5007,La1.5Ba1.1Ca0.4Cu3O6.969,,,,,40.0,Ba1100Ca400La1500(Cu1000O2323)3,40.0,0.0
5008,La1.5Ba1.1Ca0.4Cu3O7.05,,,,,55.0,Ba22Ca8La30(Cu20O47)3,55.0,0.0
5009,La1.5Ba1.1Ca0.4Cu3O7.082,,,,,62.0,Ba550Ca200La750Cu1500O3541,62.0,0.0
5010,La1.5Ba1Ca0.5Cu3O6.801,,,,,30.0,Ba1000Ca500La1500(Cu1000O2267)3,30.0,0.0
5011,La1.5Ba1Ca0.5Cu3O6.981,,,,,50.0,Ba1000Ca500La1500(Cu1000O2327)3,50.0,0.0
5012,La1.5Ba1Ca0.5Cu3O7.126,,,,,67.0,Ba500Ca250La750Cu1500O3563,67.0,0.0
5013,La1.5Ba1Ca0.5Cu3O7.195,,,,,74.0,Ba200Ca100La300Cu600O1439,74.0,0.0
5014,Tl2Ba2Cu1O6,,,,,91.0,Ba2Tl2CuO6,60.51578947368422,80.1
5015,La1.94Sr0.06Cu1O4,A,,,13.189,14.0,Sr3La97(CuO4)50,8.266666666666667,11.2
5016,La1.92Sr0.08Cu1O4,A,,,13.2,24.0,Sr2La48(CuO4)25,25.399999999999995,10.099999999999998
5017,La1.9Sr0.1Cu1O4,,,,,29.0,SrLa19(CuO4)10,28.065277777777776,16.1
5018,La1.88Sr0.12Cu1O4,A,,,13.23,34.0,Sr3La47(CuO4)25,29.011111111111113,17.6
5019,La1.85Sr0.15Cu1O4,A,,,13.24,38.0,Sr3La37(CuO4)20,36.01482142857143,22.299999999999997
5020,La1.82Sr0.18Cu1O4,A,,,13.249,37.0,Sr9La91(CuO4)50,36.36,8.799999999999997
5021,La1.8Sr0.2Cu1O4,A,,,13.248,32.0,SrLa9(CuO4)5,30.797222222222224,22.6
5022,La1.75Sr0.25Cu1O4,A,,,13.26,16.0,SrLa7(CuO4)4,17.071428571428573,24.0
5023,La1.85Sr0.15Cu1O4,,,,,38.0,Sr3La37(CuO4)20,36.01482142857143,22.299999999999997
5024,La1.85Sr0.15Cu1O3.993,,,,,20.0,Sr150La1850Cu1000O3993,20.0,0.0
5025,La1.85Sr0.15Cu1O3.987,,,,,12.0,Sr150La1850Cu1000O3987,12.0,0.0
5026,Y1Ba2Cu3O6.95,,,,,92.4,Ba40Y20Cu60O139,91.8379411764706,7.5
5027,Y1Ba2Cu3O6.95,,,,,93.4,Ba40Y20Cu60O139,91.8379411764706,7.5
5028,B0.6C0.4Sr0.5Ba1.5Ca2Cu3O9,A,3.862,,14.135,119.0,Ba15Sr5Ca20Cu30B6(C2O45)2,119.0,0.0
5029,B0.6C0.4Sr0.5Ba1.5Ca2Cu3O9,A,3.862,,14.135,119.0,Ba15Sr5Ca20Cu30B6(C2O45)2,119.0,0.0
5030,La1.91Sr0.09Cu1O4,,,,,30.0,Sr9La191(CuO4)100,25.8875,19.0
5031,La1.86Sr0.14Cu1O4,,,,,40.0,Sr7La93(CuO4)50,37.475,4.0
5032,La1.85Sr0.15Cu1O4,,,,,42.0,Sr3La37(CuO4)20,36.01482142857143,22.299999999999997
5033,La1.75Sr0.25Cu1O4,,,,,6.0,SrLa7(CuO4)4,17.071428571428573,24.0
5034,Pr1Ba2Cu3O6.6,A,3.883,3.948,11.823,60.0,Ba10Pr5(Cu5O11)3,60.0,0.0
5035,Pr1Ba2Cu3O6.8,,,,,81.0,Ba10Pr5Cu15O34,81.0,0.0
5036,La2Cu1O4.012,A,5.3632,5.4162,13.179,32.0,La500Cu250O1003,32.0,0.0
5037,La2Cu1O4.022,A,5.3446,5.4334,13.252,42.0,La1000Cu500O2011,42.0,0.0
5038,La1.86Sr0.14Cu1O4,,,,,37.0,Sr7La93(CuO4)50,37.475,4.0
5039,La1.835Sr0.165Cu0.995Ni0.005O4,,,,,33.0,Sr33La367Cu199NiO800,33.0,0.0
5040,La1.83Sr0.17Cu0.99Ni0.01O4,,,,,29.0,Sr17La183Cu99NiO400,30.1,2.1999999999999993
5041,La1.825Sr0.175Cu0.985Ni0.015O4,,,,,25.0,Sr35La365Cu197Ni3O800,25.0,0.0
5042,La1.8Sr0.2Cu1O4,,,,,22.0,SrLa9(CuO4)5,30.797222222222224,22.6
5043,La1.78Sr0.22Cu0.92Ni0.08O4,,,,,21.0,Sr11La89Cu46(NiO50)4,21.0,0.0
5044,La1.775Sr0.225Cu0.995Ni0.005O4,,,,,21.0,Sr45La355Cu199NiO800,21.0,0.0
5045,La1.77Sr0.23Cu0.99Ni0.01O4,,,,,18.0,Sr23La177Cu99NiO400,18.0,0.0
5046,La1.78Sr0.22Cu1O4,,,,,22.0,Sr11La89(CuO4)50,25.174999999999997,9.0
5047,La1.78Sr0.22Cu0.9975Zn0.0025O4,,,,,20.0,Sr88La712ZnCu399O1600,19.25,1.5
5048,La1.78Sr0.22Cu0.995Zn0.005O4,,,,,19.0,Sr44La356ZnCu199O800,16.293333333333333,10.12
5049,La1.78Sr0.22Cu0.993Zn0.007O4,,,,,18.0,Sr220La1780Zn7Cu993O4000,18.0,0.0
5050,La1.78Sr0.22Cu0.99Zn0.01O4,,,,,15.0,Sr22La178ZnCu99O400,16.766666666666666,3.3000000000000007
5051,La1.78Sr0.22Cu0.985Zn0.015O4,,,,,10.0,Sr44La356Zn3Cu197O800,10.0,0.0
5052,Y1Ba2Cu4O8,,,,,81.0,Ba2Y(CuO2)4,78.72848101265825,21.0
5053,Y1Ba2Cu3.925Zn0.075O8,,,,,25.0,Ba80Y40Zn3Cu157O320,25.0,0.0
5054,Dy1Ba2Cu3O7,,,,,91.0,Ba2DyCu3O7,85.225,45.099999999999994
5055,Y1Sr2Cu3O7.5,A,3.795,,11.38,62.5,Sr4Y2(Cu2O5)3,62.5,0.0
5056,La1.9Sr0.1Cu1O4,,,,,33.0,SrLa19(CuO4)10,28.065277777777776,16.1
5057,La1.84Sr0.16Cu1O4,,,,,39.0,Sr4La46(CuO4)25,35.48333333333333,16.699999999999996
5058,La1.78Sr0.22Cu1O4,,,,,29.0,Sr11La89(CuO4)50,25.174999999999997,9.0
5059,Y1Ba2Cu4O8,,,,,72.0,Ba2Y(CuO2)4,78.72848101265825,21.0
5060,Y1Ba2Cu4O8,,,,,72.0,Ba2Y(CuO2)4,78.72848101265825,21.0
5061,Y1Ba2Cu4O8,,,,,80.0,Ba2Y(CuO2)4,78.72848101265825,21.0
5062,Y1Ba2Cu3O6.93,,,,,93.0,Ba200Y100(Cu100O231)3,91.57250000000002,3.799999999999997
5063,Y1Ba2Cu3O6.91,,,,,93.0,Ba200Y100Cu300O691,92.34285714285714,5.200000000000003
5064,Y1Ba2Cu3O6.94,,,,,90.5,Ba100Y50Cu150O347,92.55714285714285,7.5
5065,Y1Ba2Cu3O6.87,,,,,93.5,Ba200Y100(Cu100O229)3,89.33333333333333,20.10000000000001
5066,Y1Ba2Cu3O6.9,,,,,92.6,Ba20Y10(Cu10O23)3,90.9753947368421,15.0
5067,Y1Ba1.5Sr0.5Cu3O6.96,A,3.799,3.87,11.621,89.0,Ba75Sr25Y50(Cu25O58)6,89.0,0.0
